total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,Faultiness
7,0,4,0,3,8,6,10,12,14,22,58,0.27,3.7,214.81,0.02,11.93,0,0,0,0,0,1,0.33,0,0,0,0.14,0,FALSE
9,0,1,0,8,7,8,15,20,15,35,94,0.12,8.33,783.33,0.03,43.52,2,1,0,0,0,2,0.25,0,0,0,0.22,0,FALSE
21,0,14,1,7,15,12,21,36,27,57,187,0.12,8.33,1558.33,0.06,86.57,8,4,1,4,1,4,0.57,1,1,0.25,0.19,0,FALSE
30,0,11,0,19,16,18,50,70,34,120,423,0.04,25,10575,0.14,587.5,20,10,1,9,2,9,0.47,1.11,1,0.11,0.3,0,TRUE
8,0,2,0,6,4,5,5,10,9,15,32,0.32,3.13,100,0.01,5.56,2,1,1,1,0,2,0.33,1,1,0.5,0.25,0,FALSE
7,0,1,0,6,4,5,4,11,9,15,32,0.4,2.5,80,0.01,4.44,2,1,2,0,0,2,0.33,0,2,1,0.29,0,FALSE
22,0,5,0,17,15,9,38,50,24,88,279,0.09,11.11,3100,0.09,172.22,16,8,0,8,4,5,0.29,1,0,0,0.23,0,FALSE
32,0,10,0,22,19,9,26,46,28,72,239,0.16,6.25,1493.75,0.08,82.99,16,8,3,8,2,7,0.32,1,3,0.43,0.22,0,FALSE
14,0,5,0,9,13,8,22,30,21,52,158,0.15,6.67,1053.33,0.05,58.52,4,2,3,2,1,2,0.22,1,3,1.5,0.14,0,FALSE
9,0,1,0,8,8,8,10,18,16,28,77,0.2,5,385,0.03,21.39,4,2,0,2,0,3,0.38,1,0,0,0.33,0,FALSE
3,0,0,0,3,3,4,3,5,7,8,15,0.5,2,30,0.01,1.67,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE
8,0,0,0,8,7,7,8,14,14,22,58,0.25,4,232,0.02,12.89,4,2,0,2,1,2,0.25,1,0,0,0.25,1,FALSE
7,0,1,0,6,8,7,10,16,15,26,70,0.23,4.35,304.35,0.02,16.91,2,1,0,1,0,2,0.33,1,0,0,0.29,0,FALSE
45,0,16,0,29,22,11,40,65,33,105,367,0.1,10,3670,0.12,203.89,18,9,4,9,2,7,0.24,1,4,0.57,0.16,0,FALSE
10,0,5,1,5,6,5,7,16,11,23,55,0.34,2.94,161.76,0.02,8.99,6,3,3,3,1,3,0.6,1,3,1,0.3,0,FALSE
8,0,0,0,8,6,12,14,22,18,36,104,0.07,14.29,1485.71,0.03,82.54,2,1,0,0,0,2,0.25,0,0,0,0.25,1,FALSE
10,0,1,0,9,9,11,17,29,20,46,137,0.1,10,1370,0.05,76.11,2,1,3,0,0,2,0.22,0,3,1.5,0.2,1,FALSE
9,0,2,0,7,6,7,9,18,13,27,69,0.19,5.26,363.16,0.02,20.18,4,2,2,2,1,2,0.29,1,2,1,0.22,0,FALSE
6,0,0,0,6,9,7,21,23,16,44,121,0.12,8.33,1008.33,0.04,56.02,0,0,4,0,0,1,0.17,0,4,4,0.17,0,TRUE
6,0,0,0,6,9,9,22,32,18,54,156,0.09,11.11,1733.33,0.05,96.3,0,0,0,0,0,1,0.17,0,0,0,0.17,1,FALSE
8,0,3,0,5,5,4,5,9,9,14,30,0.5,2,60,0.01,3.33,0,0,3,0,0,1,0.2,0,3,3,0.13,0,FALSE
9,0,2,0,7,7,8,9,15,15,24,64,0.19,5.26,336.84,0.02,18.71,2,1,0,1,0,2,0.29,1,0,0,0.22,1,FALSE
21,0,2,0,19,16,8,36,47,24,83,263,0.11,9.09,2390.91,0.09,132.83,8,4,4,4,0,5,0.26,1,4,0.8,0.24,0,FALSE
7,0,0,0,7,8,4,8,11,12,19,47,0.5,2,94,0.02,5.22,0,0,1,0,0,1,0.14,0,1,1,0.14,0,FALSE
6,0,0,0,6,7,4,7,9,11,16,38,0.5,2,76,0.01,4.22,0,0,0,0,0,1,0.17,0,0,0,0.17,0,FALSE
13,0,0,0,13,12,9,25,30,21,55,167,0.11,9.09,1518.18,0.06,84.34,2,1,0,0,0,2,0.15,0,0,0,0.15,0,FALSE
20,0,0,0,20,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,10,5,0,5,1,4,0.2,1,0,0,0.2,1,FALSE
21,0,0,0,21,12,6,13,26,18,39,112,0.31,3.23,361.29,0.04,20.07,10,5,0,5,1,4,0.19,1,0,0,0.19,1,FALSE
22,0,6,0,16,14,7,20,33,21,53,161,0.2,5,805,0.05,44.72,10,5,0,5,1,4,0.25,1,0,0,0.18,1,FALSE
25,0,10,0,15,18,16,40,58,34,98,345,0.06,16.67,5750,0.12,319.44,14,7,1,6,1,7,0.47,1.17,1,0.14,0.28,0,FALSE
33,0,14,0,19,17,17,45,62,34,107,377,0.04,25,9425,0.13,523.61,12,6,2,5,1,6,0.32,1.2,2,0.33,0.18,0,FALSE
9,0,3,0,6,5,9,8,15,14,23,60,0.14,7.14,428.57,0.02,23.81,4,2,0,2,0,3,0.5,1,0,0,0.33,0,FALSE
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,FALSE
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,FALSE
3,0,0,0,3,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE
3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE
3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE
3,0,0,0,3,4,5,5,6,9,11,24,0.32,3.13,75,0.01,4.17,0,0,0,0,0,1,0.33,0,0,0,0.33,1,FALSE
11,0,1,0,10,9,12,17,25,21,42,127,0.09,11.11,1411.11,0.04,78.4,4,2,0,1,0,3,0.3,2,0,0,0.27,0,TRUE
35,0,29,0,6,31,7,35,40,38,75,272,0.25,4,1088,0.09,60.44,0,0,5,0,0,1,0.17,0,5,5,0.03,0,FALSE
22,0,9,1,13,13,13,27,47,26,74,241,0.07,14.29,3442.86,0.08,191.27,12,6,1,5,1,6,0.46,1.2,1,0.17,0.27,0,FALSE
10,0,2,0,8,8,11,14,24,19,38,111,0.1,10,1110,0.04,61.67,6,3,0,2,0,4,0.5,1.5,0,0,0.4,0,TRUE
21,0,7,0,14,11,9,25,39,20,64,191,0.1,10,1910,0.06,106.11,10,5,0,5,2,4,0.29,1,0,0,0.19,0,TRUE
21,0,5,0,16,17,11,40,50,28,90,299,0.08,12.5,3737.5,0.1,207.64,4,2,6,0,0,3,0.19,0,6,2,0.14,0,FALSE
10,0,3,0,7,9,7,16,18,16,34,94,0.16,6.25,587.5,0.03,32.64,0,0,2,0,0,1,0.14,0,2,2,0.1,1,FALSE
9,0,4,0,5,4,3,4,9,7,13,25,0.67,1.49,37.31,0.01,2.07,0,0,3,0,0,1,0.2,0,3,3,0.11,0,FALSE
19,0,7,0,12,15,9,19,31,24,50,158,0.18,5.56,877.78,0.05,48.77,10,5,2,5,2,4,0.33,1,2,0.5,0.21,0,TRUE
60,9,30,0,21,33,9,40,70,42,110,411,0.18,5.56,2283.33,0.14,126.85,10,5,19,4,1,5,0.24,1.25,19,3.8,0.08,0,FALSE
10,0,0,0,10,7,8,16,21,15,37,100,0.11,9.09,909.09,0.03,50.51,2,1,0,0,0,2,0.2,0,0,0,0.2,0,FALSE
19,1,4,0,14,10,8,15,27,18,42,121,0.17,5.88,711.76,0.04,39.54,4,2,5,1,0,3,0.21,2,5,1.67,0.16,0,FALSE
36,4,5,0,27,15,7,41,59,22,100,309,0.1,10,3090,0.1,171.67,10,5,11,0,0,6,0.22,0,11,1.83,0.17,0,FALSE
8,0,3,0,5,6,6,7,11,12,18,44,0.29,3.45,151.72,0.01,8.43,4,2,1,1,0,3,0.6,2,1,0.33,0.38,1,FALSE
3,0,0,0,3,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE
38,0,13,1,25,23,13,47,68,36,115,412,0.08,12.5,5150,0.14,286.11,10,5,9,3,1,5,0.2,1.67,9,1.8,0.13,0,FALSE
54,0,19,0,35,40,13,79,112,53,191,758,0.08,12.5,9475,0.25,526.39,24,12,4,9,1,11,0.31,1.33,4,0.36,0.2,0,FALSE
55,0,13,0,42,43,13,79,108,56,187,752,0.08,12.5,9400,0.25,522.22,20,10,3,8,2,7,0.17,1.25,3,0.43,0.13,1,FALSE
14,2,8,0,4,15,5,19,22,20,41,122,0.32,3.13,381.25,0.04,21.18,0,0,5,0,0,1,0.25,0,5,5,0.07,0,FALSE
72,0,23,1,49,47,15,109,158,62,267,1101,0.06,16.67,18350,0.37,1019.44,32,16,10,11,2,13,0.27,1.45,10,0.77,0.18,1,FALSE
7,0,4,0,3,5,3,7,9,8,16,33,0.48,2.08,68.75,0.01,3.82,0,0,3,0,0,1,0.33,0,3,3,0.14,0,FALSE
35,0,13,0,22,28,13,49,71,41,120,445,0.09,11.11,4944.44,0.15,274.69,14,7,4,4,1,6,0.27,1.75,4,0.67,0.17,0,FALSE
37,0,13,1,24,33,15,56,79,48,135,522,0.08,12.5,6525,0.17,362.5,12,6,6,4,1,5,0.21,1.5,6,1.2,0.14,1,FALSE
39,0,14,1,25,34,15,62,88,49,150,583,0.07,14.29,8328.57,0.19,462.7,14,7,7,4,1,6,0.24,1.75,7,1.17,0.15,1,FALSE
13,0,9,0,4,7,4,15,17,11,32,76,0.23,4.35,330.43,0.03,18.36,0,0,4,0,0,1,0.25,0,4,4,0.08,0,FALSE
12,0,4,0,8,9,8,13,22,17,35,99,0.17,5.88,582.35,0.03,32.35,2,1,2,0,0,2,0.25,0,2,1,0.17,0,FALSE
4,0,0,0,4,4,6,6,7,10,13,29,0.22,4.55,131.82,0.01,7.32,0,0,0,0,0,1,0.25,0,0,0,0.25,2,FALSE
4,0,0,0,4,3,5,4,6,8,10,20,0.3,3.33,66.67,0.01,3.7,0,0,0,0,0,1,0.25,0,0,0,0.25,1,FALSE
27,0,10,0,17,15,9,36,48,24,84,266,0.09,11.11,2955.56,0.09,164.2,8,4,5,4,1,4,0.24,1,5,1.25,0.15,0,FALSE
31,0,11,0,20,17,8,46,66,25,112,360,0.09,11.11,4000,0.12,222.22,8,4,12,0,0,5,0.25,0,12,2.4,0.16,0,FALSE
8,0,0,0,8,6,3,7,13,9,20,43,0.57,1.75,75.44,0.01,4.19,0,0,5,0,0,1,0.13,0,5,5,0.13,0,FALSE
10,0,7,0,3,7,3,7,15,10,22,50,0.67,1.49,74.63,0.02,4.15,0,0,6,0,0,1,0.33,0,6,6,0.1,0,FALSE
79,5,26,2,48,34,10,70,110,44,180,681,0.1,10,6810,0.23,378.33,24,12,7,12,4,9,0.19,1,7,0.78,0.11,0,FALSE
21,2,9,0,10,9,7,15,27,16,42,116,0.17,5.88,682.35,0.04,37.91,4,2,3,2,0,3,0.3,1,3,1,0.14,0,FALSE
34,0,5,0,29,18,11,35,58,29,93,313,0.09,11.11,3477.78,0.1,193.21,22,11,0,11,1,10,0.34,1,0,0,0.29,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE
58,0,8,0,50,26,15,66,108,41,174,646,0.05,20,12920,0.22,717.78,36,18,9,18,4,14,0.28,1,9,0.64,0.24,1,FALSE
36,0,5,0,31,20,11,37,60,31,97,333,0.1,10,3330,0.11,185,26,13,0,13,1,12,0.39,1,0,0,0.33,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE
60,0,8,0,52,26,16,71,114,42,185,691,0.05,20,13820,0.23,767.78,38,19,9,19,4,15,0.29,1,9,0.6,0.25,1,TRUE
4,0,2,0,2,5,4,5,7,9,12,26,0.5,2,52,0.01,2.89,0,0,0,0,0,1,0.5,0,0,0,0.25,0,FALSE
3,0,0,0,3,2,4,2,5,6,7,12,0.5,2,24,0,1.33,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE
3,0,0,0,3,2,4,2,5,6,7,12,0.5,2,24,0,1.33,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE
60,0,8,0,52,26,16,70,113,42,183,683,0.05,20,13660,0.23,758.89,38,19,9,19,4,15,0.29,1,9,0.6,0.25,1,FALSE
48,0,7,0,41,22,11,51,84,33,135,472,0.08,12.5,5900,0.16,327.78,30,15,0,15,1,14,0.34,1,0,0,0.29,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE
95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,76,38,13,38,10,28,0.34,1,13,0.46,0.29,1,TRUE
32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,18,9,0,9,1,8,0.3,1,0,0,0.25,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE
34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1,4,0.5,0.24,1,FALSE
38,0,5,0,33,22,11,39,62,33,101,353,0.1,10,3530,0.12,196.11,30,15,0,15,1,14,0.42,1,0,0,0.37,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE
34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1,4,0.5,0.24,1,FALSE
40,0,6,0,34,19,11,42,70,30,112,380,0.08,12.5,4750,0.13,263.89,24,12,0,12,1,11,0.32,1,0,0,0.28,0,FALSE
3,0,0,0,3,2,4,2,5,6,7,12,0.5,2,24,0,1.33,0,0,0,0,0,1,0.33,0,0,0,0.33,0,FALSE
4,0,0,0,4,3,5,4,7,8,11,22,0.3,3.33,73.33,0.01,4.07,0,0,0,0,0,1,0.25,0,0,0,0.25,0,FALSE
95,0,13,0,82,36,19,118,184,55,302,1210,0.03,33.33,40333.33,0.4,2240.74,76,38,13,38,10,28,0.34,1,13,0.46,0.29,1,FALSE
40,0,5,0,35,24,11,41,64,35,105,373,0.11,9.09,3390.91,0.12,188.38,34,17,0,17,1,16,0.46,1,0,0,0.4,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
26,0,3,0,23,14,9,24,42,23,66,206,0.13,7.69,1584.62,0.07,88.03,16,8,1,8,3,6,0.26,1,1,0.17,0.23,0,FALSE
34,0,6,0,28,18,13,34,59,31,93,319,0.08,12.5,3987.5,0.11,221.53,20,10,4,10,2,8,0.29,1,4,0.5,0.24,1,FALSE
12,0,3,0,9,11,15,22,32,26,54,175,0.07,14.29,2500,0.06,138.89,8,4,0,3,1,4,0.44,1.33,0,0,0.33,2,FALSE
3,0,0,0,3,5,6,5,8,11,13,31,0.33,3.03,93.94,0.01,5.22,0,0,0,0,0,1,0.33,0,0,0,0.33,3,FALSE
18,0,3,0,15,10,15,31,46,25,77,247,0.04,25,6175,0.08,343.06,12,6,0,5,1,6,0.4,1.2,0,0,0.33,2,FALSE
8,0,0,0,8,7,7,8,14,14,22,58,0.25,4,232,0.02,12.89,4,2,0,2,1,2,0.25,1,0,0,0.25,1,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
4,0,0,0,4,2,5,3,7,7,10,19,0.27,3.7,70.37,0.01,3.91,2,1,0,1,0,2,0.5,1,0,0,0.5,0,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
2,0,0,0,2,1,2,1,3,3,4,4,1,1,4,0,0.22,0,0,0,0,0,1,0.5,0,0,0,0.5,0,FALSE
32,0,5,0,27,16,11,33,56,27,89,293,0.09,11.11,3255.56,0.1,180.86,18,9,0,9,1,8,0.3,1,0,0,0.25,0,FALSE
6,0,0,0,6,3,5,5,11,8,16,33,0.24,4.17,137.5,0.01,7.64,4,2,0,2,0,3,0.5,1,0,0,0.5,0,FALSE
6,0,0,0,6,6,6,6,11,12,17,42,0.33,3.03,127.27,0.01,7.07,4,2,1,2,1,2,0.33,1,1,0.5,0.33,0,FALSE
27,0,3,0,24,16,9,26,44,25,70,225,0.14,7.14,1607.14,0.08,89.29,16,8,1,8,3,6,0.25,1,1,0.17,0.22,0,FALSE
51,2,12,0,37,29,17,58,91,46,149,570,0.06,16.67,9500,0.19,527.78,34,17,4,17,3,14,0.38,1,4,0.29,0.27,1,TRUE
307,116,44,5,147,138,23,245,366,161,611,3104,0.04898,20.4167,63373.3333,1.0347,3520.7407,94,47,43,39,10,37,0.2517,1.2051,43,1.1622,0.12052,0,TRUE
3,0,0,0,3,4,6,6,8,10,14,32,0.22222,4.5,144,0.010667,8,0,0,0,0,0,1,0.33333,0,0,0,0.33333,0,FALSE
268,72,22,0,174,125,23,337,484,148,821,4102,0.032254,31.004,127178.408,1.3673,7065.4671,190,95,0,94,32,64,0.36782,1.0106,0,0,0.23881,0,FALSE
11,2,0,0,9,10,4,15,17,14,32,84,0.33333,3,252,0.028,14,0,0,2,0,0,1,0.11111,0,2,2,0.090909,0,FALSE
9,2,0,0,7,7,4,11,13,11,24,57,0.31818,3.1429,179.1429,0.019,9.9524,0,0,1,0,0,1,0.14286,0,1,1,0.11111,0,FALSE
10,2,0,0,8,7,4,13,15,11,28,67,0.26923,3.7143,248.8571,0.022333,13.8254,0,0,2,0,0,1,0.125,0,2,2,0.1,0,FALSE
5,0,0,0,5,5,3,5,9,8,14,29,0.66667,1.5,43.5,0.0096667,2.4167,0,0,3,0,0,1,0.2,0,3,3,0.2,0,FALSE
28,5,1,0,22,18,12,49,53,30,102,346,0.061224,16.3333,5651.3333,0.11533,313.963,8,4,2,3,1,4,0.18182,1.3333,2,0.5,0.14286,1,FALSE
26,6,0,0,20,16,11,41,44,27,85,280,0.070953,14.0938,3946.25,0.093333,219.2361,4,2,2,1,0,3,0.15,2,2,0.66667,0.11538,0,FALSE
15,4,0,0,11,11,5,19,22,16,41,113,0.23158,4.3182,487.9545,0.037667,27.1086,0,0,7,0,0,1,0.090909,0,7,7,0.066667,1,FALSE
23,5,1,0,17,18,9,25,36,27,61,201,0.16,6.25,1256.25,0.067,69.7917,4,2,7,1,0,3,0.17647,2,7,2.3333,0.13043,2,FALSE
10,4,0,0,6,9,6,24,23,15,47,127,0.125,8,1016,0.042333,56.4444,0,0,3,0,0,1,0.16667,0,3,3,0.1,2,FALSE
23,5,1,0,17,15,10,43,58,25,101,325,0.069767,14.3333,4658.3333,0.10833,258.7963,16,8,4,8,4,5,0.29412,1,4,0.8,0.21739,1,FALSE
76,11,11,2,54,49,14,116,166,63,282,1168,0.060345,16.5714,19355.4286,0.38933,1075.3016,58,29,17,29,14,16,0.2963,1,17,1.0625,0.21053,0,FALSE
203,63,37,6,103,60,23,304,348,83,652,2881,0.017162,58.2667,167866.2667,0.96033,9325.9037,58,29,77,28,8,22,0.21359,1.0357,77,3.5,0.10837,0,FALSE
64,18,7,1,39,35,14,75,97,49,172,669,0.066667,15,10035,0.223,557.5,24,12,8,12,3,10,0.25641,1,8,0.8,0.15625,0,FALSE
94,21,17,3,56,35,18,103,145,53,248,984,0.037756,26.4857,26061.9429,0.328,1447.8857,32,16,29,16,4,12,0.21429,1,29,2.4167,0.12766,0,FALSE
31,10,5,0,16,19,5,64,66,24,130,413,0.11875,8.4211,3477.8947,0.13767,193.2164,0,0,24,0,0,1,0.0625,0,24,24,0.032258,0,FALSE
70,21,15,0,34,30,7,83,88,37,171,617,0.10327,9.6833,5974.6167,0.20567,331.9231,2,1,17,0,0,2,0.058824,0,17,8.5,0.028571,0,FALSE
20,9,8,0,3,12,4,19,22,16,41,113,0.31579,3.1667,357.8333,0.037667,19.8796,0,0,9,0,0,1,0.33333,0,9,9,0.05,0,FALSE
285,78,40,3,167,36,15,295,355,51,650,2555,0.016271,61.4583,157026.0417,0.85167,8723.669,40,20,109,20,3,15,0.08982,1,109,7.2667,0.052632,0,FALSE
61,21,7,1,33,24,10,73,83,34,156,550,0.065753,15.2083,8364.5833,0.18333,464.6991,6,3,10,3,0,4,0.12121,1,10,2.5,0.065574,0,FALSE
16,5,0,0,11,12,5,22,23,17,45,127,0.21818,4.5833,582.0833,0.042333,32.338,0,0,1,0,0,1,0.090909,0,1,1,0.0625,1,FALSE
17,6,0,0,11,12,5,22,23,17,45,127,0.21818,4.5833,582.0833,0.042333,32.338,0,0,1,0,0,1,0.090909,0,1,1,0.058824,1,FALSE
29,8,1,1,20,15,10,38,44,25,82,263,0.078947,12.6667,3331.3333,0.087667,185.0741,2,1,1,0,0,2,0.1,0,1,0.5,0.068966,2,FALSE
82,31,7,4,44,25,11,57,91,36,148,530,0.079745,12.54,6646.2,0.17667,369.2333,24,12,2,11,3,10,0.22727,1.0909,2,0.2,0.12195,0,FALSE
74,21,10,4,43,30,10,58,91,40,149,549,0.10345,9.6667,5307,0.183,294.8333,28,14,2,14,3,12,0.27907,1,2,0.16667,0.16216,0,FALSE
77,30,13,4,34,50,16,87,108,66,195,816,0.071839,13.92,11358.72,0.272,631.04,24,12,3,12,4,9,0.26471,1,3,0.33333,0.11688,0,FALSE
76,19,2,1,55,57,19,118,155,76,273,1182,0.050847,19.6667,23246,0.394,1291.4444,46,23,25,23,10,14,0.25455,1,25,1.7857,0.18421,0,FALSE
23,5,0,0,18,22,6,67,69,28,136,453,0.10945,9.1364,4138.7727,0.151,229.9318,4,2,24,2,1,2,0.11111,1,24,12,0.086957,0,FALSE
19,5,0,0,14,14,13,26,33,27,59,194,0.08284,12.0714,2341.8571,0.064667,130.1032,4,2,0,1,0,3,0.21429,2,0,0,0.15789,0,FALSE
128,42,21,3,65,67,13,83,134,80,217,950,0.12419,8.0522,7649.6269,0.31667,424.9793,26,13,24,12,1,12,0.18462,1.0833,24,2,0.09375,0,FALSE
