"Original.Release","Order","Release","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-A","First",10,3,0,0,2,35,29,11,35,29,11,12,5,4,9,NA,3,35,9,0,23,5,5,28,TRUE
"Keymind-A","First",10,3,0,0,2,12,9,3,10,7,3,12,5,4,9,NA,3,11,5,1,13,1,1,23,FALSE
"Keymind-A","First",10,6,0,0,2,37,32,5,-9,-14,-1,14,4,2,9,NA,6,14,8,23,12,1,1,15,FALSE
"Keymind-A","First",10,6,0,2,2,232,89,58,208,77,52,31,18,5,9,NA,4,220,16,12,82,1,1,12,FALSE
"Keymind-A","First",10,1,0,0,1,310,310,310,310,310,310,18,18,18,9,NA,1,310,0,0,314,2,2,11,FALSE
"Keymind-A","First",10,2,0,0,2,89,84,44,89,84,44,20,18,10,9,NA,2,89,1,0,53,1,1,36,TRUE
"Keymind-A","First",10,5,0,1,2,54,53,13,54,53,13,29,18,5,9,NA,4,54,2,0,21,0,0,7,FALSE
"Keymind-A","First",10,3,0,0,2,26,18,8,24,16,8,27,18,9,9,NA,3,25,0,1,16,1,1,12,FALSE
"Keymind-A","First",10,4,0,0,2,194,133,48,50,-11,12,30,18,7,9,NA,4,122,7,72,42,0,0,17,FALSE
"Keymind-A","First",10,2,0,0,2,54,47,27,54,47,27,22,18,11,9,NA,2,54,0,0,32,5,5,71,FALSE
"Keymind-A","First",10,1,0,0,1,24,24,24,24,24,24,18,18,18,9,NA,1,24,0,0,26,0,0,22,FALSE
"Keymind-A","First",10,1,0,0,1,35,35,35,35,35,35,18,18,18,9,NA,1,35,0,0,37,0,0,7,FALSE
"Keymind-A","First",10,1,0,0,1,53,53,53,53,53,53,18,18,18,9,NA,1,53,0,0,60,0,0,42,FALSE
"Keymind-A","First",10,1,0,0,1,53,53,53,53,53,53,18,18,18,9,NA,1,53,0,0,60,1,1,21,FALSE
"Keymind-A","First",10,2,0,1,1,42,42,42,42,42,42,20,18,10,9,NA,1,42,0,0,44,0,0,56,TRUE
"Keymind-A","First",10,13,0,6,3,475,292,67,447,268,63,49,18,3,9,NA,7,461,92,14,95,0,0,29,TRUE
"Keymind-A","First",10,4,0,1,3,43,39,14,43,39,14,23,18,5,9,NA,3,43,7,0,26,0,0,18,FALSE
"Keymind-A","First",10,2,0,0,1,62,46,31,62,46,31,20,18,10,9,NA,2,62,7,0,43,0,0,38,TRUE
"Keymind-A","First",10,16,0,7,3,79,46,8,79,46,8,52,18,3,9,NA,9,79,15,0,20,0,0,9,TRUE
"Keymind-A","First",10,1,0,0,1,75,75,75,75,75,75,2,2,2,9,NA,1,75,0,0,86,0,0,7,FALSE
"Keymind-A","First",10,2,0,0,2,20,17,10,20,17,10,10,5,5,9,NA,2,20,0,0,15,0,0,19,FALSE
"Keymind-A","First",10,1,0,0,1,201,201,201,201,201,201,5,5,5,9,NA,1,201,0,0,207,5,5,11,FALSE
"Keymind-A","First",10,9,0,0,1,320,240,35,220,162,25,46,11,5,9,NA,9,270,41,50,47,21,21,75,TRUE
"Keymind-A","First",10,1,0,0,1,36,36,36,36,36,36,1,1,1,9,NA,1,36,0,0,38,0,0,7,FALSE
"Keymind-A","First",10,1,0,0,1,18,18,18,18,18,18,4,4,4,9,NA,1,18,0,0,21,1,1,16,FALSE
"Keymind-A","First",10,1,0,0,1,16,16,16,16,16,16,4,4,4,9,NA,1,16,0,0,18,0,0,23,FALSE
"Keymind-A","First",10,15,0,3,1,618,242,51,200,-82,17,33,4,2,8,NA,12,409,96,209,75,5,5,32,TRUE
"Keymind-A","First",10,17,0,7,2,196,121,19,174,111,17,46,5,2,8,NA,10,185,29,11,37,0,0,17,TRUE
"Keymind-A","First",10,4,0,0,1,114,78,28,114,78,28,13,4,3,8,NA,4,114,0,0,35,0,0,16,FALSE
"Keymind-A","First",10,1,0,0,1,204,204,204,204,204,204,2,2,2,8,NA,1,204,0,0,206,2,2,18,FALSE
"Keymind-A","First",10,14,0,1,1,537,180,41,405,60,31,52,11,3,8,NA,13,471,19,66,49,19,19,44,TRUE
"Keymind-A","First",10,3,0,0,1,338,315,112,330,307,110,17,7,5,8,NA,3,334,1,4,120,7,7,61,FALSE
"Keymind-A","First",10,2,0,0,1,104,101,52,104,101,52,5,3,2,8,NA,2,104,1,0,57,3,3,31,FALSE
"Keymind-A","First",10,4,0,0,1,77,74,19,77,74,19,7,2,1,8,NA,4,77,3,0,28,0,0,115,FALSE
"Keymind-A","First",10,1,0,0,1,61,61,61,61,61,61,2,2,2,8,NA,1,61,0,0,63,0,0,58,FALSE
"Keymind-A","First",10,13,0,1,2,492,193,40,334,71,28,47,11,3,7,NA,12,413,15,79,54,0,0,34,TRUE
"Keymind-A","First",10,2,0,0,2,18,18,9,18,18,9,13,11,6,7,NA,2,18,1,0,14,0,0,79,TRUE
"Keymind-A","First",10,8,0,0,2,363,229,44,237,103,30,35,11,4,7,NA,8,300,13,63,53,9,9,43,TRUE
"Keymind-A","First",10,6,0,0,1,162,76,26,160,74,26,29,11,4,7,NA,6,161,6,1,39,12,12,47,TRUE
"Keymind-A","First",10,3,0,0,1,77,77,25,77,77,25,6,2,2,7,NA,3,77,2,0,32,0,0,29,FALSE
"Keymind-A","First",10,1,0,0,1,28,28,28,28,28,28,7,7,7,7,NA,1,28,0,0,30,0,0,12,FALSE
"Keymind-A","First",10,3,0,0,1,290,280,96,280,272,94,11,7,3,7,NA,3,285,7,5,107,2,2,48,TRUE
"Keymind-A","First",10,1,0,0,1,23,23,23,23,23,23,4,4,4,7,NA,1,23,0,0,25,0,0,21,FALSE
"Keymind-A","First",10,2,0,0,1,136,113,68,136,113,68,6,4,3,7,NA,2,136,1,0,74,1,1,28,TRUE
"Keymind-A","First",10,4,0,0,1,156,102,38,138,86,34,15,7,3,7,NA,4,147,6,9,54,8,8,40,FALSE
"Keymind-A","First",10,3,0,0,1,198,100,66,198,100,66,9,4,3,6,NA,3,198,5,0,81,12,12,79,TRUE
"Keymind-A","First",10,1,0,0,1,78,78,78,78,78,78,3,3,3,6,NA,1,78,0,0,80,0,0,55,TRUE
"Keymind-A","First",10,4,0,2,3,79,76,39,63,60,31,9,4,2,6,NA,2,71,3,8,46,4,4,59,TRUE
"Keymind-A","First",10,10,0,5,3,264,230,52,210,204,42,26,5,2,6,NA,5,237,23,27,69,0,0,33,TRUE
"Keymind-A","First",10,6,0,0,2,181,123,29,101,43,17,19,5,3,6,NA,6,141,11,40,44,2,2,22,TRUE
"Keymind-A","First",10,33,0,12,2,888,300,41,554,182,27,64,5,1,6,NA,21,721,127,167,75,0,0,84,TRUE
"Keymind-A","First",10,10,0,1,1,240,132,26,96,78,10,29,5,2,6,NA,9,168,29,72,37,0,0,29,TRUE
"Keymind-A","First",10,2,0,0,1,18,9,9,18,9,9,3,2,1,5,NA,2,18,1,0,18,0,0,12,FALSE
"Keymind-A","First",10,1,0,0,1,85,85,85,85,85,85,5,5,5,5,NA,1,85,0,0,90,0,0,14,FALSE
"Keymind-A","First",10,1,0,0,1,62,62,62,62,62,62,2,2,2,2,NA,1,62,0,0,64,4,4,51,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,57,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,28,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,12,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,56,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,35,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,48,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,116,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,37,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,25,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,192,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,395,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,78,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,27,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,38,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,NA,0,0,0,0,0,0,0,51,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,0,0,0,0,0,0,0,12,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,NA,0,0,0,0,0,0,0,27,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,36,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,19,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,25,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,15,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,NA,0,0,0,0,0,0,0,47,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,149,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,19,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,23,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,103,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,NA,0,0,0,0,0,0,0,84,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,12,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,60,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,19,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,90,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,46,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,39,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,28,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,98,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,60,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,102,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,73,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,93,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,46,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,NA,0,0,0,0,0,0,0,54,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,20,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,55,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,40,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,47,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,126,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,NA,0,0,0,0,0,0,0,57,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,NA,0,0,0,0,0,0,0,24,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,37,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,99,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,52,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,NA,0,0,0,0,0,0,0,55,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,49,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,57,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-11,NA,0,0,0,0,0,0,0,26,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,24,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,50,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-16,NA,0,0,0,0,0,0,0,15,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,NA,0,0,0,0,0,0,0,5,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,39,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,28,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,16,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,39,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,89,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,NA,0,0,0,0,0,0,0,43,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,61,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,61,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,88,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,22,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,81,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,25,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,48,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,101,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,120,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,19,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,22,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,46,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,NA,0,0,0,0,0,0,0,40,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-26,NA,0,0,0,0,0,0,0,56,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,55,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,52,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,38,TRUE
