"Original.Release","Order","Release","NR","NREF","NFIX","NAUTH","LINES_SUM","LINES_MAX","LINES_AVG","CHURN_SUM","CHURN_MAX","CHURN_AVG","CHGSET_SUM","CHGSET_MAX","CHGSET_AVG","AGE","AGE_WEIGHTED","Impl","LOC.A","LOC.M","LOC.D","Size","Violations.Injected","Violations","Size.Next","Faultiness"
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,48,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,34,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,35,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,111,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,121,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,62,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,145,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,36,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-28,NA,0,0,0,0,0,0,0,81,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,65,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,94,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,NA,0,0,0,0,0,0,0,83,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,59,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,51,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,NA,0,0,0,0,0,0,0,31,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,92,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,149,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-38,NA,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,42,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,140,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,17,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,100,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,346,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,95,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,53,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-39,NA,0,0,0,0,0,0,0,3,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,NA,0,0,0,0,0,0,0,22,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,NA,0,0,0,0,0,0,0,11,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,NA,0,0,0,0,0,0,0,5,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,42,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,28,TRUE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,7,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,38,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,37,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,2,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-41,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,NA,0,0,0,0,0,0,0,94,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,NA,0,0,0,0,0,0,0,10,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-53,NA,0,0,0,0,0,0,0,82,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,650,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,680,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,652,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,689,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,693,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,669,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,1279,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-62,NA,0,0,0,0,0,0,0,649,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,23,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,44,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,45,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,35,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,41,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-63,NA,0,0,0,0,0,0,0,54,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,NA,0,0,0,0,0,0,0,9,FALSE
"Keymind-A","First",10,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,NA,0,0,0,0,0,0,0,105,TRUE
"Keymind-A","First",20,10,0,1,1,75,28,11,43,2,7,31,8,4,27,9,6,59,10,16,28,1,6,59,FALSE
"Keymind-A","First",20,12,0,0,2,29,9,4,25,5,4,29,8,4,27,9,6,27,5,2,15,4,5,14,FALSE
"Keymind-A","First",20,7,0,2,1,64,64,64,-64,-64,-64,3,3,3,27,9,1,0,0,64,12,0,1,15,FALSE
"Keymind-A","First",20,9,0,1,3,65,26,10,61,22,10,31,8,4,27,9,6,63,22,2,36,1,2,32,FALSE
"Keymind-A","First",20,6,0,1,1,0,0,0,0,0,0,2,2,2,27,9,1,0,1,0,7,0,0,16,FALSE
"Keymind-A","First",20,5,0,0,2,0,0,0,0,0,0,9,5,4,27,9,2,0,3,0,12,0,1,12,FALSE
"Keymind-A","First",20,5,0,0,1,9,9,9,9,9,9,4,4,4,27,9,1,9,0,0,17,0,0,7,FALSE
"Keymind-A","First",20,4,0,0,1,45,27,15,45,27,15,18,8,6,27,9,3,45,0,0,22,0,0,21,FALSE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,7,FALSE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,42,FALSE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,1,21,FALSE
"Keymind-A","First",20,2,0,1,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,56,TRUE
"Keymind-A","First",20,35,0,10,3,100,57,4,40,3,2,38,4,1,27,9,18,70,122,30,29,0,0,63,TRUE
"Keymind-A","First",20,10,0,1,1,48,20,7,28,4,5,27,8,4,27,9,6,38,15,10,18,0,0,10,FALSE
"Keymind-A","First",20,2,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,38,TRUE
"Keymind-A","First",20,24,0,8,3,2,2,0,0,0,0,23,5,2,27,9,7,1,7,1,9,0,0,23,TRUE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,7,FALSE
"Keymind-A","First",20,5,0,0,1,23,13,7,23,13,7,16,8,5,27,9,3,23,2,0,19,4,4,9,FALSE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,5,11,FALSE
"Keymind-A","First",20,17,0,1,3,677,436,95,245,4,35,28,8,3,27,9,7,461,3,216,75,10,31,9,FALSE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,7,FALSE
"Keymind-A","First",20,24,0,5,2,201,156,28,-55,-94,-8,28,5,3,26,8,7,73,22,128,32,1,6,16,TRUE
"Keymind-A","First",20,26,0,10,2,31,21,5,31,21,5,39,7,3,26,8,6,31,9,0,17,0,0,49,TRUE
"Keymind-A","First",20,6,0,0,1,18,9,9,18,9,9,16,7,5,26,8,2,18,0,0,16,0,0,15,FALSE
"Keymind-A","First",20,31,0,4,1,340,174,23,316,156,23,37,7,2,26,8,14,328,31,12,44,21,40,155,TRUE
"Keymind-A","First",20,8,0,0,1,112,80,22,-2,-32,0,9,3,1,26,8,5,55,38,57,61,4,11,17,FALSE
"Keymind-A","First",20,6,0,0,1,61,29,14,57,27,14,13,4,3,26,8,4,59,7,2,31,1,4,137,TRUE
"Keymind-A","First",20,9,0,0,1,557,387,110,321,157,64,11,7,2,26,8,5,439,13,118,115,0,0,87,FALSE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,0,0,0,0,0,0,58,FALSE
"Keymind-A","First",20,23,0,4,2,91,77,12,87,75,12,21,5,2,25,7,7,89,22,2,34,0,0,39,FALSE
"Keymind-A","First",20,7,0,1,1,262,153,65,262,153,65,14,5,2,25,7,4,262,3,0,79,0,0,20,FALSE
"Keymind-A","First",20,8,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,9,43,TRUE
"Keymind-A","First",20,8,0,1,1,40,40,40,40,40,40,4,3,2,25,7,1,40,0,0,47,3,15,10,FALSE
"Keymind-A","First",20,3,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",20,3,0,0,1,2,1,1,2,1,1,9,7,4,25,7,2,2,1,0,12,0,0,25,TRUE
"Keymind-A","First",20,15,0,3,1,246,95,26,176,41,20,31,7,2,25,7,9,211,30,35,48,8,10,50,TRUE
"Keymind-A","First",20,2,0,1,1,0,0,0,0,0,0,2,2,2,25,7,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",20,3,0,1,1,0,0,0,0,0,0,2,2,2,25,7,0,0,0,0,0,4,5,28,TRUE
"Keymind-A","First",20,6,0,0,1,66,48,32,64,46,32,6,4,2,25,7,2,65,0,1,40,6,14,25,FALSE
"Keymind-A","First",20,8,0,1,1,233,162,58,231,160,58,7,2,1,24,6,4,232,10,1,79,3,15,16,FALSE
"Keymind-A","First",20,7,0,2,2,144,63,36,144,63,36,29,6,4,24,6,4,144,8,0,55,0,0,15,FALSE
"Keymind-A","First",20,14,0,5,2,243,100,34,225,90,32,49,10,4,24,6,7,234,20,9,59,14,18,33,TRUE
"Keymind-A","First",20,39,0,14,3,321,140,15,225,96,11,88,7,2,24,6,20,273,108,48,33,0,0,26,TRUE
"Keymind-A","First",20,17,0,4,1,42,35,5,22,19,3,41,10,3,24,6,7,32,15,10,22,1,3,38,TRUE
"Keymind-A","First",20,74,0,25,3,2002,1246,70,62,0,2,91,10,2,24,6,28,1032,358,970,84,0,0,70,TRUE
"Keymind-A","First",20,16,0,2,1,27,18,4,9,0,2,23,6,3,24,6,5,18,20,9,29,0,0,23,TRUE
"Keymind-A","First",20,4,0,0,1,0,0,0,0,0,0,3,2,1,23,5,2,0,3,0,12,0,0,8,FALSE
"Keymind-A","First",20,3,0,0,1,1,1,0,1,1,0,8,4,4,23,5,2,1,4,0,14,1,1,41,TRUE
"Keymind-A","First",20,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,4,51,TRUE
"Keymind-A","First",20,4,0,0,1,215,152,53,161,98,41,12,4,3,18,0,4,188,0,27,57,0,0,64,FALSE
"Keymind-A","First",20,21,0,4,3,183,63,10,175,59,10,39,6,1,18,0,17,179,38,4,25,0,0,9,FALSE
"Keymind-A","First",20,3,0,0,1,76,73,25,76,73,25,7,3,2,18,0,3,76,7,0,35,0,0,64,FALSE
"Keymind-A","First",20,15,0,4,2,203,96,18,195,88,18,38,6,2,18,0,11,199,20,4,35,0,0,25,TRUE
"Keymind-A","First",20,18,0,4,1,356,154,25,346,144,25,49,6,2,18,0,14,351,68,5,48,0,0,2,FALSE
"Keymind-A","First",20,5,0,0,1,101,86,19,75,70,15,19,6,3,18,0,5,88,2,13,29,1,1,13,FALSE
"Keymind-A","First",20,3,0,0,1,94,78,31,94,78,31,14,6,4,18,0,3,94,7,0,44,0,0,7,FALSE
"Keymind-A","First",20,4,0,0,1,391,288,97,193,90,49,19,6,4,18,0,4,292,33,99,116,0,0,2,FALSE
"Keymind-A","First",20,11,0,3,1,279,134,34,157,22,20,34,6,3,18,0,8,218,10,61,44,0,0,3,FALSE
"Keymind-A","First",20,4,0,0,1,115,106,28,47,38,12,8,3,2,18,0,4,81,11,34,37,0,0,13,FALSE
"Keymind-A","First",20,4,0,0,1,72,28,18,72,28,18,6,2,1,18,0,4,72,1,0,25,0,0,40,FALSE
"Keymind-A","First",20,47,0,10,2,552,87,14,428,51,12,95,6,1,17,0,37,490,203,62,38,0,0,39,TRUE
"Keymind-A","First",20,5,0,0,2,131,126,25,125,120,25,21,6,4,15,0,5,128,8,3,36,0,0,9,FALSE
"Keymind-A","First",20,16,0,4,2,47,26,3,43,22,3,36,5,2,13,0,12,45,33,2,19,0,0,13,FALSE
"Keymind-A","First",20,2,0,0,1,168,164,84,168,164,84,10,5,5,13,0,2,168,4,0,103,2,2,16,FALSE
"Keymind-A","First",20,2,0,1,2,43,43,43,19,19,19,6,5,3,13,0,1,31,11,12,84,0,0,34,FALSE
"Keymind-A","First",20,2,0,0,1,55,39,27,55,39,27,7,4,3,12,0,2,55,7,0,39,0,0,49,FALSE
"Keymind-A","First",20,5,0,1,2,79,39,19,79,39,19,15,6,3,12,0,4,79,3,0,28,0,0,83,TRUE
"Keymind-A","First",20,4,0,0,1,201,187,50,193,179,48,21,10,5,12,0,4,197,7,4,60,3,3,30,FALSE
"Keymind-A","First",20,3,0,0,1,263,203,87,221,163,73,18,10,6,12,0,3,242,23,21,102,0,0,47,TRUE
"Keymind-A","First",20,13,0,6,3,195,164,27,189,158,27,32,6,2,12,0,7,192,17,3,46,0,0,20,FALSE
"Keymind-A","First",20,7,0,1,3,182,177,29,160,157,27,20,6,2,11,0,6,171,10,11,40,0,0,12,FALSE
"Keymind-A","First",20,11,0,4,1,180,102,25,128,76,19,33,6,3,10,0,7,154,29,26,47,5,5,51,FALSE
"Keymind-A","First",20,35,0,14,3,1711,1004,80,675,390,32,87,10,2,10,0,21,1193,298,518,126,0,0,86,TRUE
"Keymind-A","First",20,5,0,2,1,141,132,47,69,78,23,20,6,4,10,0,3,105,10,36,57,0,0,23,FALSE
"Keymind-A","First",20,3,0,0,1,46,42,15,46,42,15,8,4,2,9,0,3,46,2,0,24,0,0,16,FALSE
"Keymind-A","First",20,1,0,0,1,26,26,26,26,26,26,1,1,1,8,0,1,26,0,0,29,0,0,9,FALSE
"Keymind-A","First",20,2,0,0,1,98,98,49,98,98,49,13,10,6,8,0,2,98,1,0,55,3,3,21,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,39,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,20,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,28,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,21,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,14,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,16,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,39,TRUE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,89,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,44,TRUE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,29,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,43,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,61,TRUE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,61,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,88,TRUE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,22,FALSE
"Keymind-A","First",20,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,35,FALSE
